Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=076b6d5bd0542192,앱개발 / 웹 개발자 정규직,위고컴퍼니 서울 구로구,,"3년이상 2. Java프로그래밍 지식 3. 모바일어플리케이션 설계 & 보안지식 4. MacOS 환경에서 개발가능 6. php, java-Spring... 환경에서 개발가능 6. php, java-Spring, NodeJs, C#..."
https://kr.indeed.com/viewjob?jk=70e3ba9ebfc2f668,소프트웨어 프로그램 개발,엠로 서울,,"JAVA 기반 웹 어플리케이션 개발 자격요건 - 학력 : 초대졸 이상 (2,3년) - 경력 : Jsp/javascript/CSS, Java기반... 공학/수학/통계학 - Flex, Java, 웹 프로그래밍,객체지향(OOP..."
https://kr.indeed.com/viewjob?jk=314cb11dce58741e,서버 웹 애플리케이션 개발,픽셀로 경기도 의왕,,"없음.비젼이 있는 회사 서버 웹 애플리케이션 개발... Web Application Server) 개발 - Java/Spring, Html/css/Node.js/javascript - RDBMS - Mobile app..."
https://kr.indeed.com/viewjob?jk=4a67bd58b7cc7224,공포게임 3D 그래픽디자이너 신입,나이젤 뱅크 서울 노원구,"연봉 22,000,000원 - 24,000,000원","기재 직무/산업 직무별(직종) 게임기획.개발.운영게임음악.음향, 게임디자인, 2D디자인, Flash게임, Java게임, 모바일앱게임, 온라인게임, 게임개발, 멀티미디어 캐릭터디자인3D 산업별(업종) 문화.공연.예술 공연예술"
https://kr.indeed.com/viewjob?jk=3fe823bafcdcf478,Blockchain Platform 개발 / 분산 플랫폼 개발,알투브이 서울 영등포구,,"러그인 방식의 확장 프로그램 개발( JAVA) [우대 사항] - 스크럼 프로젝트 개발 경험 * 칸반보드, 스탠드업미팅, 스프린트 - JUnit, Mockito 등을 활용한 유닛테스트 작성 경험 - JAVA 8, Spring..."
https://kr.indeed.com/viewjob?jk=6718bba08ef6e20b,모바일 앱 보안 솔루션 개발부문,스틸리언 서울 용산구,,"앱수트는 C언어, Java, Python을 통해 주로 개발합니다. - ELF, Dalvik, Gradle 빌드 시스템, Java bytecode... 분 모집 Part 3) - Java, Objective C, Swift..."
https://kr.indeed.com/viewjob?jk=85534d40db28e7b9,[오디오플랫폼] 오디오클립 서비스 개발자,네이버 대한민국,,비즈니스 모델 구축 - 클로바 및 AI스피커 등 오디오 콘텐츠 제공을 위한 플랫폼 연동 [지원자격 ] - Java / Spring 기반의 Backend 개발 경험 ( 3년 이상 또는 그에 준하는 역량을 보유하신 분) - DB...
https://kr.indeed.com/viewjob?jk=6c32a8c2843f72ac,의료분야 사업JAVA개발자/자사솔루션 JAVA개발자,나무플래닛 서울 송파구,"연봉 26,000,000원","모집직종 JAVA 프로그래밍 언어 전문가 모집인원 5명 학력 전문대학 전공... 무내용 1.수행직무 : JAVA개발,운영,내부솔루션 개발,웹개발 2.고용형태 : 계약직(12개월),상용직 3.우대조건 : jAVA 사용, 교육 수강..."
https://kr.indeed.com/viewjob?jk=3773922f9c1ce014,자바개발자(e-Gov프레임워크 개발가능) 경력직,투케이시스템 광주광역시,,"[웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자... 임워크 또는 라이브러리 구축 - 프로젝트 진행 [응용 프로그래밍] - JAVA 개발 - 응용프로그램 개발 - DB 설계 및 개발 - 프레임워크 또는..."
https://kr.indeed.com/viewjob?jk=a37f0c209e69d971,IT산업,HR4U 서울 구로구,,"자격요건]_ ㆍ경력 9년 이상 ㆍ컨택센터(콜센터) 개발 및 운영, PM 有 경험자 (필수사항) ㆍ개발언어 : JAVA 중급이상 (XML, REST API 연동개발) ㆍDB 개발 유 경험자(Oracle, MS SQL 등) ㆍ고..."
https://kr.indeed.com/viewjob?jk=a6a4b500fa0340d4,"Director, Software Engineering (Coupang...",Coupang 3.1 서울,,"proficiency... least, one modern programming language... Java, JavaScript, Scala, Kotlin, or Python * Excellent..."
https://kr.indeed.com/viewjob?jk=0f6c7148e2353e32,"[해외취업] 일본, Taqusu, 프로그래머",Taqusu 대한민국,"연봉 28,000,000원 - 29,200,000원","소통 가능한 수준 주요업무내용 [회사 HP] http... sysystem.co.jp/ [업무내용] JAVA, VB.Net, C#.Net, C++, PHP 등의 프로그래밍 언어를 사용하여 프로그램을 만듭니다. 병원에..."
https://kr.indeed.com/viewjob?jk=59dbec5a3a5e5b0e,"프로그래머 (c,c++,JAVA) 개발경험자",네스터원 서울 마포구,"월급 2,000,000원","[직무내용] 국방사업(워게임) 개발 및 유지보수 경험자 - C, C++, Java 가능자 [근무시간 및 형태] 주 5일 근무 (오전) 9시 00분... 및 유지보수 경험자 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA"
